Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00     8152     0.00     0.00  hexval
  0.00      1.05     0.00     8024     0.00     0.00  BCCX_SetTag
  0.00      1.05     0.00     8004     0.00     0.00  SXIL_GetTypeStackSize
  0.00      1.05     0.00     7792     0.00     0.02  BGBPP_Directive
  0.00      1.05     0.00     6954     0.00     0.00  SXIL_RegEqvP
  0.00      1.05     0.00     6402     0.00     0.00  BASM_OutByte
  0.00      1.05     0.00     6304     0.00     0.00  SXIL_TypeOvfP
  0.00      1.05     0.00     6233     0.00     0.00  BGBCP_SkimLinenum
  0.00      1.05     0.00     5956     0.00     0.00  BGBPP_Directive2
  0.00      1.05     0.00     5950     0.00     0.01  BGBPP_Line
  0.00      1.05     0.00     5660     0.00     0.00  SXIL_TypeBaseLitP
  0.00      1.05     0.00     5500     0.00     0.00  BASM_OpMemRegP
  0.00      1.05     0.00     5185     0.00     0.00  BGBCP_GetFilename
  0.00      1.05     0.00     5183     0.00     0.00  BGBCP_CalcLinenum
  0.00      1.05     0.00     5183     0.00     0.00  BGBPP_LineDigraph
  0.00      1.05     0.00     5183     0.00     0.00  BGBPP_LinePostFilter
  0.00      1.05     0.00     5026     0.00     0.00  BGBCP_BlockStatement
  0.00      1.05     0.00     5026     0.00     0.00  BGBCP_BlockStatementInner
  0.00      1.05     0.00     5026     0.00     0.00  BGBCP_GetLastFileName
  0.00      1.05     0.00     5026     0.00     0.00  BGBCP_GetLastLineNumber
  0.00      1.05     0.00     4986     0.00     0.00  BGBCP_Definition
  0.00      1.05     0.00     4928     0.00     0.00  BASM_OpRegMemP
  0.00      1.05     0.00     4888     0.00     0.00  BGBCP_VarsList
  0.00      1.05     0.00     4874     0.00     0.00  SXIL_TypeBaseP
  0.00      1.05     0.00     4874     0.00     0.00  sxil_alc_raw
  0.00      1.05     0.00     4806     0.00     0.00  BGBCP_EatSemicolon
  0.00      1.05     0.00     4806     0.00     0.00  BGBCP_ParseBlockStatementName
  0.00      1.05     0.00     4366     0.00     0.00  BASM_Parse_IsLineBreak
  0.00      1.05     0.00     4118     0.00     0.03  BGBCC_CompileTopStatement
  0.00      1.05     0.00     4076     0.00     0.00  hexbyte
  0.00      1.05     0.00     4049     0.00     0.04  BASM_GetSymIndex
